user,restaurant,rating
14639,5
14640,29
14640,29
14641,18
14642,29
14643,5
14644,5
14645,5
14646,5
14647,5
14648,5
14648,5
14649,5
14650,5
14650,5
14651,29
14651,29
14651,5
14651,29
14651,5
14651,5
14652,5
14652,5
14653,5
14654,5
14655,32
14656,22
14657,29
14657,5
14658,22
14658,22
14658,18
14659,5
14660,29
14660,29
14660,29
14661,29
14662,29
14662,29
14663,26
14664,26
14665,10
14666,5
14667,32
14668,5
14669,32
14670,5
14670,5
14671,26
14672,18
14673,18
14674,4
14675,18
14676,18
14677,5
14677,5
14677,5
14677,5
14677,5
14677,29
14677,29
14678,5
14678,24
14678,5
14678,5
14679,29
14679,29
14681,5
14681,4
14682,32
14683,5
14684,5
14685,5
14686,5
14687,18
14688,18
14689,15
14690,5
14691,5
14691,5
14692,5
14693,18
14693,18
14694,29
14694,29
14694,29
14694,29
14695,17
14696,29
14697,6
14698,29
14699,29
14700,5
14701,5
14702,29
14703,5
14704,17
14704,25
14705,22
14706,18
14707,5
14708,18
14709,5
14709,5
14710,5
14711,22
14712,5
14712,5
14712,5
14712,5
14713,18
14713,29
14713,5
14714,18
14715,29
14716,29
14717,5
14718,29
14719,4
14720,29
14721,5
14721,5
14722,32
14728,5
14729,29
14730,4
14731,5
14732,25
14734,22
14734,18
14738,18
14739,29
14740,32
14741,18
14742,5
14743,5
14744,5
14744,5
14745,29
14746,32
14747,24
14748,4
14749,29
14750,18
14751,18
14753,29
14754,5
14755,17
14756,18
14757,26
14758,10
14758,10
14758,5
14760,18
14760,18
14761,32
14762,18
14763,29
14763,29
14763,29
14764,29
14765,29
14766,5
14767,5
14768,25
14769,25
14769,18
14769,5
14770,29
14770,18
14770,18
14771,5
14771,5
14772,26
14772,26
14773,5
14774,29
14775,29
14776,24
14777,29
14778,22
14779,29
14779,29
14779,5
14779,29
14779,29
14780,5
14780,5
14781,24
14782,25
14783,32
14783,25
14783,25
14784,30
14785,5
14785,29
14786,3
14786,3
14786,3
14787,29
14788,5
14789,29
14790,17
14791,5
14792,5
14793,18
14794,2
14794,29
14795,32
14796,19
14797,29
14798,30
14798,30
14798,30
14799,29
14799,6
14799,5
14800,5
14801,29
14802,5
14803,5
14804,9
14805,4
14806,26
14807,28
14808,32
14809,23
14812,28
14814,29
14869,29
14884,29
14884,5
14884,29
14899,18
14902,18
14902,29
14902,18
14905,5
14906,5
14906,5
14907,5
14908,21
14909,5
14911,24
14889,26
14912,28
20734,18
20735,26
20738,32
20739,25
20767,26
20769,18
20770,18
20771,22
20788,31
20789,18
20797,32
20798,5
