,user_id,for_user,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,avialble_before,avialble_after,user_available_before,user_available_after,time
286,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,-1,3,
231,14719,16854,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,30,26,26,
167,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,27,-1,
307,14658,19151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,-1,7,
137,14639,18210,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,
69,14708,16869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,
306,14658,19151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,7,
140,14731,16598,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,-1,3,
207,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,18,18,
345,14669,20057,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
208,14719,16658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,30,18,18,
239,14719,16901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,7,3,
227,14719,16751,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,
192,14719,16656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,25,7,
217,14719,16753,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,7,7,
338,14649,16831,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,7,-1,7,
253,14719,18264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,
143,14731,16599,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
10,14720,16107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,
47,14706,17051,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,24,24,24,
2,14720,16016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,7,7,
336,14689,18580,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,
132,14639,18200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,27,
319,14716,17003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,27,26,27,
164,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,24,10,
173,14731,18491,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,15,3,15,
285,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-1,
326,14689,18086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,11,27,
88,14708,17037,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,
6,14720,16105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,
218,14719,16753,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,
163,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,-1,
292,14658,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,-1,
155,14731,14731,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,
287,14658,19068,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,
139,14731,16599,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,
270,14658,19035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,24,24,
204,14719,16658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,18,18,
93,14690,17428,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,24,-1,24,
241,14719,16901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,
46,14706,17051,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,
288,14658,19069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,4,-1,
298,14658,19069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,-1,4,
89,14708,17036,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,4,8,
243,14719,16901,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,
72,14708,14708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,27,30,
130,14639,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,27,10,
21,14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,
1,14720,16016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,-1,7,
78,14708,16923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7,7,7,
34,14707,16687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,
107,14657,17659,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,
38,14911,16868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,10,10,
