user_id,for_user,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,avialble_before,avialble_after,user_available_before,user_available_after,time
14720,16015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,8,-1,8,2023-06-15 23:46:22
14720,16016,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,-1,7,2023-06-15 23:46:29
14720,16016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,8,7,7,2023-06-15 23:46:34
14720,16017,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,-1,7,2023-06-15 23:46:42
14720,16104,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,2023-06-16 11:04:19
14720,16104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,2023-06-16 11:04:19
14720,16105,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,2023-06-16 11:04:32
14720,16105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,2023-06-16 11:04:38
14720,16106,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,2023-06-16 11:04:45
14720,16106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,2023-06-16 11:04:51
14720,16107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,2023-06-16 11:04:58
14720,16110,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,2023-06-16 11:09:01
14720,16110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,2023-06-16 11:09:07
14720,16111,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,2023-06-16 11:09:15
14720,16111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,2023-06-16 11:09:20
14720,16112,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,24,-1,24,2023-06-16 11:09:28
14720,16453,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,24,-1,24,2023-06-17 16:45:09
14801,16494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,2023-06-18 11:15:30
14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,-1,10,2023-06-18 11:15:30
14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,10,10,2023-06-18 11:15:36
14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,10,10,2023-06-18 11:15:43
14801,16494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,2023-06-18 11:19:33
14801,16495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,24,24,2023-06-18 11:26:53
14909,16604,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,2023-06-19 09:21:50
14909,16604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,2023-06-19 09:21:50
14909,16605,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,-1,4,2023-06-19 09:21:59
14909,16605,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,4,2023-06-19 09:22:05
14773,16688,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,10,-1,10,2023-06-19 11:26:15
14773,16688,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,10,10,10,2023-06-19 11:26:30
14773,16689,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,7,-1,7,2023-06-19 11:27:14
14773,16689,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,10,7,10,2023-06-19 11:27:36
14773,16688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,2023-06-19 11:28:00
