,user_id,for_user,limiting_member,CROSTACEI_E_MOLLUSCHI,FUNGHI,FORMAGGI,VERDURE,PESCE,RISO,PASTA,INTERIORA,LEGUMI,TORTELLINI,GNOCCHI,CARNE,PIZZA,SALUMI,revision_number,avialble_before,avialble_after,user_available_before,user_available_after,time
50,14693,17139,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,-1.0,4.0,2023-06-19 13:42:18
46,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,24,4.0,24.0,2023-06-19 16:01:20
74,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:30
40,14806,17590,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,5,-1.0,5.0,2023-06-19 15:50:50
145,14738,19309,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,28,27.0,27.0,2023-06-20 16:26:58
114,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,26,27.0,26.0,2023-06-20 11:33:23
47,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,24.0,24.0,2023-06-19 16:01:20
18,14906,16661,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,23,26,7.0,7.0,2023-06-19 11:09:34
136,14672,19065,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,8,4.0,8.0,2023-06-20 14:53:34
6,14720,16453,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,24,27,24.0,24.0,2023-06-17 16:45:19
73,14710,16253,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30,30,30.0,30.0,2023-06-16 13:23:24
13,14660,17620,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,7,25,4.0,4.0,2023-06-19 16:17:36
205,14708,16921,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,7,24,,,
29,14661,17518,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,8,11.0,8.0,2023-06-19 15:17:03
191,14708,16870,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,24,24,,,
221,14784,17505,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,,,
7,14748,14748,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,11,8.0,11.0,2023-06-16 15:39:07
195,14708,14708,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,30,24,-1,24,,,
83,14662,18705,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,24,24,7.0,7.0,2023-06-20 10:30:08
149,14738,19345,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,27,-1.0,27.0,2023-06-20 16:39:36
119,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:37
206,14708,16923,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,,,
160,14911,16868,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,31,10,-1,10,,,
44,14806,17591,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,24,24,24.0,24.0,2023-06-19 16:01:10
226,14659,16051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,7,7,,,
33,14661,17518,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,8,8.0,8.0,2023-06-19 15:17:05
49,14693,17137,bytearray(b'0'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,4,-1.0,4.0,2023-06-19 13:42:18
59,14691,17992,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,26,29,26.0,26.0,2023-06-19 21:33:32
148,14738,19311,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,27,26.0,26.0,2023-06-20 16:26:58
166,14911,16868,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,10,27,10,10,,,
86,14719,14719,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,7,-1.0,7.0,2023-06-19 11:59:29
213,14708,17037,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,24,24,-1,24,,,
193,14708,16869,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,1,0,24,27,24,24,,,
102,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:16
132,14672,18879,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,8,8,8.0,8.0,2023-06-20 12:37:30
225,14659,16051,bytearray(b'0'),0,0,0,0,0,1,0,0,0,0,0,0,0,8,24,7,7,,,
137,14771,17444,bytearray(b'0'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,27,11.0,27.0,2023-06-19 15:02:01
14,14660,17620,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,25,28,4.0,4.0,2023-06-19 16:17:36
140,14738,19310,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,24.0,24.0,2023-06-20 16:26:27
94,14719,16753,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:11:12
134,14672,14672,bytearray(b'1'),0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,8,24,8.0,24.0,2023-06-20 12:37:44
100,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10.0,10.0,2023-06-19 12:12:01
70,14710,14710,bytearray(b'1'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,31,31.0,31.0,2023-06-16 13:23:11
97,14719,16747,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,10.0,7.0,2023-06-19 12:11:18
113,14713,18793,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,27,27.0,27.0,2023-06-20 11:33:09
216,14708,17148,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
32,14661,17517,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,4.0,4.0,2023-06-19 15:17:04
176,14706,17051,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,,,
151,14738,19342,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,27,28,27.0,27.0,2023-06-20 16:39:51
60,14691,17994,bytearray(b'0'),0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6.0,6.0,2023-06-19 21:33:32
25,14661,14661,bytearray(b'1'),1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,-1.0,4.0,2023-06-19 15:17:02
