"id","group_id","restaurant_id","ts"
320,35539,29,"2023-06-13 09:44:35"
321,35546,18,"2023-06-13 11:24:32"
322,35550,17,"2023-06-13 12:32:15"
323,35555,32,"2023-06-13 12:43:07"
324,35550,17,"2023-06-13 13:05:48"
325,35568,29,"2023-06-13 15:56:57"
326,35588,29,"2023-06-13 19:06:37"
327,35592,29,"2023-06-13 19:31:05"
328,35648,29,"2023-06-13 22:09:17"
329,35647,29,"2023-06-13 22:10:43"
330,35648,29,"2023-06-13 22:32:47"
331,35648,29,"2023-06-13 22:39:34"
332,35650,29,"2023-06-13 22:42:55"
333,35648,29,"2023-06-13 22:45:58"
334,35660,29,"2023-06-13 22:55:08"
335,35659,29,"2023-06-13 22:58:01"
336,35660,29,"2023-06-13 23:01:42"
337,35663,29,"2023-06-13 23:19:22"
338,36849,29,"2023-06-15 23:01:29"
339,36834,29,"2023-06-15 23:05:46"
340,36857,18,"2023-06-15 23:07:16"
341,36888,29,"2023-06-16 00:01:50"
342,37199,4,"2023-06-16 15:44:23"
343,37221,18,"2023-06-16 22:32:24"
344,37223,5,"2023-06-16 22:35:51"
345,37229,29,"2023-06-16 23:24:12"
346,37230,5,"2023-06-16 23:29:05"
347,37245,18,"2023-06-17 16:04:34"
348,37246,29,"2023-06-17 16:05:59"
349,37255,18,"2023-06-17 16:57:33"
350,37256,18,"2023-06-17 17:01:29"
351,37282,29,"2023-06-18 11:25:55"
352,37284,26,"2023-06-18 11:36:38"
353,37315,29,"2023-06-18 20:52:06"
354,37358,29,"2023-06-19 09:11:37"
355,37363,5,"2023-06-19 09:23:13"
356,37367,29,"2023-06-19 09:27:49"
357,37369,5,"2023-06-19 09:29:16"
358,37388,5,"2023-06-19 11:13:27"
359,37388,5,"2023-06-19 11:14:19"
360,37390,4,"2023-06-19 11:28:18"
361,37411,29,"2023-06-19 11:30:07"
362,37404,5,"2023-06-19 11:31:28"
363,37431,5,"2023-06-19 11:41:57"
364,37438,5,"2023-06-19 11:42:26"
365,37484,18,"2023-06-19 11:48:42"
366,37546,25,"2023-06-19 12:12:31"
367,37570,24,"2023-06-19 12:17:25"
368,37679,24,"2023-06-19 12:49:35"
369,37757,7,"2023-06-19 12:55:44"
370,37761,5,"2023-06-19 12:56:05"
371,37580,5,"2023-06-19 13:07:13"
372,37909,23,"2023-06-19 13:25:55"
373,37875,18,"2023-06-19 13:33:48"
374,38122,5,"2023-06-19 14:05:27"
375,38122,5,"2023-06-19 14:06:52"
376,38148,5,"2023-06-19 14:19:37"
377,38154,10,"2023-06-19 14:20:04"
378,38148,5,"2023-06-19 14:20:31"
379,38154,10,"2023-06-19 14:21:35"
380,38185,18,"2023-06-19 14:32:17"
381,38198,18,"2023-06-19 14:33:44"
382,38121,29,"2023-06-19 14:37:00"
383,38313,18,"2023-06-19 15:10:54"
384,38222,29,"2023-06-19 15:17:50"
385,38222,29,"2023-06-19 15:18:16"
386,38366,5,"2023-06-19 15:21:24"
387,38358,30,"2023-06-19 15:22:07"
388,38384,29,"2023-06-19 15:41:57"
389,38405,32,"2023-06-19 15:42:21"
390,38397,5,"2023-06-19 15:45:23"
391,38421,29,"2023-06-19 15:46:20"
392,38427,5,"2023-06-19 15:57:15"
393,38427,29,"2023-06-19 15:58:40"
