,user_id,organizer_id,group_type,system_type,rest_id,rating,rest_trip_score
0,14711,14713,3,I,18,1,5
0,14714,14715,1,No,29,0,3.5
0,14716,14715,1,No,29,0,3.5
0,14714,14716,3,R,29,0,3.5
0,14716,14716,3,R,29,0,3.5
0,14714,14717,2,R,5,1,4
0,14716,14717,2,R,5,3,4
0,14720,14718,1,R,29,0,3.5
0,14722,14718,1,R,29,0,3.5
0,14718,14718,1,R,29,0,3.5
0,14719,14718,1,R,29,2,3.5
0,14720,14719,3,RI,4,0,4
0,14722,14719,3,RI,4,0,4
0,14718,14719,3,RI,4,0,4
0,14719,14719,3,RI,4,1,4
0,14720,14720,2,RI,29,0,3.5
0,14722,14720,2,RI,29,0,3.5
0,14718,14720,2,RI,29,0,3.5
0,14719,14720,2,RI,29,2,3.5
0,14720,14721,1,I,5,1,4
0,14722,14721,1,I,5,3,4
0,14718,14721,1,I,5,1,4
0,14719,14721,1,I,5,3,4
0,14730,14730,3,No,4,1,4
0,14731,14730,3,No,4,1,4
0,14732,14730,3,No,4,2,4
0,14730,14731,2,R,5,0,4
0,14731,14731,2,R,5,1,4
0,14732,14731,2,R,5,1,4
0,14730,14732,1,R,25,1,4
0,14731,14732,1,R,25,2,4
0,14732,14732,1,R,25,1,4
0,14737,14738,1,I,18,1,5
0,14738,14738,1,I,18,0,5
0,14739,14738,1,I,18,2,5
0,14740,14738,1,I,18,0,5
0,14741,14738,1,I,18,2,5
0,14737,14741,1,R,18,1,5
0,14738,14741,1,R,18,0,5
0,14739,14741,1,R,18,2,5
0,14740,14741,1,R,18,0,5
0,14741,14741,1,R,18,2,5
0,14743,14742,3,R,5,0,4
0,14743,14743,2,R,5,0,4
0,14744,14745,3,RI,29,0,3.5
0,14745,14745,3,RI,29,2,3.5
0,14746,14745,3,RI,29,2,3.5
0,14747,14747,1,I,24,1,4.5
0,14749,14747,1,I,24,2,4.5
0,14750,14747,1,I,24,2,4.5
0,14747,14748,3,I,4,0,4
0,14749,14748,3,I,4,1,4
0,14750,14748,3,I,4,1,4
0,14747,14749,2,No,29,1,3.5
0,14749,14749,2,No,29,0,3.5
0,14750,14749,2,No,29,0,3.5
0,14747,14750,1,No,18,1,5
0,14749,14750,1,No,18,2,5
0,14750,14750,1,No,18,3,5
0,14760,14758,2,I,10,2,4.5
0,14758,14758,2,I,10,3,4.5
0,14770,14770,2,No,29,0,3.5
0,14771,14770,2,No,29,0,3.5
0,14770,14771,1,R,5,2,4
0,14771,14771,1,R,5,1,4
0,14772,14772,3,R,26,1,4.5
0,14773,14772,3,R,26,2,4.5
0,14772,14773,2,R,5,1,4
0,14773,14773,2,R,5,2,4
0,14779,14779,2,No,5,1,4
0,14780,14779,2,No,5,3,4
0,14781,14779,2,No,5,3,4
0,14782,14779,2,No,5,0,4
0,14783,14779,2,No,5,3,4
0,14779,14780,1,No,5,1,4
0,14780,14780,1,No,5,3,4
0,14781,14780,1,No,5,3,4
0,14782,14780,1,No,5,0,4
0,14783,14780,1,No,5,3,4
0,14779,14781,3,R,24,0,4.5
0,14780,14781,3,R,24,2,4.5
0,14781,14781,3,R,24,1,4.5
0,14782,14781,3,R,24,1,4.5
0,14783,14781,3,R,24,3,4.5
0,14779,14783,1,R,32,2,5
0,14780,14783,1,R,32,2,5
0,14781,14783,1,R,32,0,5
0,14782,14783,1,R,32,3,5
0,14783,14783,1,R,32,1,5
0,14784,14784,3,RI,30,3,5
0,14785,14784,3,RI,30,3,5
0,14793,14794,2,RI,29,0,3.5
0,14794,14794,2,RI,29,1,3.5
0,14795,14794,2,RI,29,0,3.5
0,14797,14794,2,RI,29,1,3.5
0,14793,14797,2,I,29,0,3.5
0,14794,14797,2,I,29,1,3.5
0,14795,14797,2,I,29,0,3.5
0,14797,14797,2,I,29,1,3.5
0,14800,14800,2,No,5,1,4
0,14801,14800,2,No,5,1,4
0,14802,14800,2,No,5,0,4
0,14800,14801,1,R,29,1,3.5
0,14801,14801,1,R,29,2,3.5
0,14802,14801,1,R,29,0,3.5
0,14800,14802,3,R,5,1,4
0,14801,14802,3,R,5,1,4
0,14802,14802,3,R,5,0,4
0,14803,14803,2,R,5,0,4
0,14804,14803,2,R,5,3,4
0,14806,14803,2,R,5,3,4
0,14803,14806,2,I,26,2,4.5
0,14804,14806,2,I,26,3,4.5
0,14806,14806,2,I,26,0,4.5
0,14807,14809,2,No,23,2,4
0,14809,14809,2,No,23,0,4
0,14807,14814,3,R,29,1,3.5
0,14809,14814,3,R,29,0,3.5
0,14899,14884,3,RI,29,0,3.5
0,14884,14884,3,RI,29,0,3.5
0,14902,14884,3,RI,29,1,3.5
0,14899,14899,2,RI,18,0,5
0,14884,14899,2,RI,18,0,5
0,14902,14899,2,RI,18,3,5
0,14899,14902,1,I,18,0,5
0,14884,14902,1,I,18,0,5
0,14902,14902,1,I,18,3,5
0,14905,14905,3,I,5,0,4
0,14906,14905,3,I,5,0,4
0,14907,14905,3,I,5,1,4
0,14908,14905,3,I,5,0,4
0,14905,14906,2,I,5,0,4
0,14906,14906,2,I,5,0,4
0,14907,14906,2,I,5,1,4
0,14908,14906,2,I,5,0,4
0,14905,14907,1,No,5,0,4
0,14906,14907,1,No,5,0,4
0,14907,14907,1,No,5,1,4
0,14908,14907,1,No,5,0,4
0,14905,14908,3,No,21,2,2
0,14906,14908,3,No,21,3,2
0,14907,14908,3,No,21,3,2
0,14908,14908,3,No,21,1,2
0,14909,14909,2,R,5,2,4
0,14911,14909,2,R,5,1,4
0,14909,14911,1,R,24,2,4.5
0,14911,14911,1,R,24,2,4.5
0,14909,14889,3,R,26,2,4.5
0,14911,14889,3,R,26,1,4.5
0,20734,20734,1,No,18,2,5
0,20735,20734,1,No,18,1,5
0,20734,20735,1,No,26,1,4.5
0,20735,20735,1,No,26,1,4.5
0,20738,20738,1,No,32,3,5
0,20739,20738,1,No,32,4,5
0,20738,20739,1,No,25,2,4
0,20739,20739,1,No,25,2,4
0,20788,20788,2,I,31,0,4.5
0,20789,20788,2,I,31,0,4.5
0,20788,20789,2,I,18,2,5
0,20789,20789,2,I,18,2,5
0,20797,20797,2,I,32,1,5
0,20798,20797,2,I,32,0,5
0,20797,20798,2,I,5,2,4
0,20798,20798,2,I,5,0,4
