,user_id,organizer_id,group_type,system_type,rest_id,rating,rest_trip_score,price,diversity,popularity,fitness,sim
0,14640,14639,2,RI,5,4,4,0,8,4,4.0,0.2544379340277777
0,14639,14639,2,RI,5,3,4,0,8,4,4.0,0.2544379340277777
0,14640,14640,1,RI,29,5,3.5,0,10,5,-1.0,0.0
0,14639,14640,1,RI,29,5,3.5,0,10,5,-1.0,0.0
0,14641,14641,3,I,18,1,5,1,6,4,5.0,0.2110824045930429
0,14642,14641,3,I,18,3,5,1,6,4,5.0,0.2110824045930429
0,14643,14641,3,I,18,3,5,1,6,4,5.0,0.2110824045930429
0,14641,14642,2,I,29,5,3.5,0,10,5,-1.0,0.0
0,14642,14642,2,I,29,5,3.5,0,10,5,-1.0,0.0
0,14643,14642,2,I,29,4,3.5,0,10,5,-1.0,0.0
0,14641,14643,1,I,5,4,4,0,8,4,4.0,0.2156389508928571
0,14642,14643,1,I,5,5,4,0,8,4,4.0,0.2156389508928571
0,14643,14643,1,I,5,5,4,0,8,4,4.0,0.2156389508928571
0,14644,14644,3,No,5,5,4,0,8,4,4.0,0.247110615079365
0,14645,14644,3,No,5,4,4,0,8,4,4.0,0.247110615079365
0,14646,14644,3,No,5,4,4,0,8,4,4.0,0.247110615079365
0,14647,14644,3,No,5,4,4,0,8,4,4.0,0.247110615079365
0,14644,14645,2,No,5,5,4,0,8,4,4.0,0.2675409226190476
0,14645,14645,2,No,5,4,4,0,8,4,4.0,0.2675409226190476
0,14646,14645,2,No,5,4,4,0,8,4,4.0,0.2675409226190476
0,14647,14645,2,No,5,4,4,0,8,4,4.0,0.2675409226190476
0,14644,14647,3,R,5,5,4,0,8,4,4.0,0.2299107142857142
0,14645,14647,3,R,5,4,4,0,8,4,4.0,0.2299107142857142
0,14646,14647,3,R,5,4,4,0,8,4,4.0,0.2299107142857142
0,14647,14647,3,R,5,4,4,0,8,4,4.0,0.2299107142857142
0,14648,14648,2,R,5,4,4,0,8,4,4.0,0.2761160714285714
0,14650,14648,2,R,5,4,4,0,8,4,4.0,0.2761160714285714
0,14651,14648,2,R,5,5,4,0,8,4,4.0,0.2761160714285714
0,14652,14648,2,R,5,5,4,0,8,4,4.0,0.2761160714285714
0,14648,14649,1,RI,5,4,4,0,8,4,4.0,0.2548812624007937
0,14650,14649,1,RI,5,4,4,0,8,4,4.0,0.2548812624007937
0,14651,14649,1,RI,5,5,4,0,8,4,4.0,0.2548812624007937
0,14652,14649,1,RI,5,5,4,0,8,4,4.0,0.2548812624007937
0,14648,14651,2,I,29,5,3.5,0,10,5,3.5,0.1708254956022813
0,14650,14651,2,I,29,5,3.5,0,10,5,3.5,0.1708254956022813
0,14651,14651,2,I,29,4,3.5,0,10,5,3.5,0.1708254956022813
0,14652,14651,2,I,29,5,3.5,0,10,5,3.5,0.1708254956022813
0,14648,14652,1,I,5,4,4,0,8,4,-1.0,0.0
0,14650,14652,1,I,5,4,4,0,8,4,-1.0,0.0
0,14651,14652,1,I,5,5,4,0,8,4,-1.0,0.0
0,14652,14652,1,I,5,5,4,0,8,4,-1.0,0.0
0,14653,14653,3,I,5,2,4,0,8,4,4.0,0.2323986235119047
0,14654,14653,3,I,5,4,4,0,8,4,4.0,0.2323986235119047
0,14656,14657,2,R,29,4,3.5,0,10,5,3.5,0.1873618197278911
0,14657,14657,2,R,29,4,3.5,0,10,5,3.5,0.1873618197278911
0,14655,14657,2,R,29,5,3.5,0,10,5,3.5,0.1873618197278911
0,14658,14658,1,R,22,4,4.5,2,7,2,4.5,0.3447897340754483
0,14659,14658,1,R,22,3,4.5,2,7,2,4.5,0.3447897340754483
0,14660,14658,1,R,22,4,4.5,2,7,2,4.5,0.3447897340754483
0,14661,14658,1,R,22,3,4.5,2,7,2,4.5,0.3447897340754483
0,14658,14659,3,RI,5,5,4,0,8,4,4.0,0.312992931547619
0,14659,14659,3,RI,5,4,4,0,8,4,4.0,0.312992931547619
0,14660,14659,3,RI,5,4,4,0,8,4,4.0,0.312992931547619
0,14661,14659,3,RI,5,4,4,0,8,4,4.0,0.312992931547619
0,14658,14660,2,RI,29,5,3.5,0,10,5,3.5,0.2484528533635676
0,14659,14660,2,RI,29,5,3.5,0,10,5,3.5,0.2484528533635676
0,14660,14660,2,RI,29,5,3.5,0,10,5,3.5,0.2484528533635676
0,14661,14660,2,RI,29,5,3.5,0,10,5,3.5,0.2484528533635676
0,14658,14661,1,I,29,5,3.5,0,10,5,0.0,0.0
0,14659,14661,1,I,29,5,3.5,0,10,5,0.0,0.0
0,14660,14661,1,I,29,5,3.5,0,10,5,0.0,0.0
0,14661,14661,1,I,29,5,3.5,0,10,5,0.0,0.0
0,14662,14662,3,I,29,5,3.5,0,10,5,3.5,0.2204849300831443
0,14664,14662,3,I,29,3,3.5,0,10,5,3.5,0.2204849300831443
0,14665,14662,3,I,29,4,3.5,0,10,5,3.5,0.2204849300831443
0,14666,14662,3,I,29,5,3.5,0,10,5,3.5,0.2204849300831443
0,14662,14663,2,I,26,4,4.5,1,6,1,4.5,0.3325980392156863
0,14663,14663,2,I,26,4,4.5,1,6,1,4.5,0.3325980392156863
0,14664,14663,2,I,26,5,4.5,1,6,1,4.5,0.3325980392156863
0,14665,14663,2,I,26,4,4.5,1,6,1,4.5,0.3325980392156863
0,14666,14663,2,I,26,4,4.5,1,6,1,4.5,0.3325980392156863
0,14662,14666,2,R,5,3,4,0,8,4,4.0,0.2784520709325396
0,14664,14666,2,R,5,4,4,0,8,4,4.0,0.2784520709325396
0,14665,14666,2,R,5,4,4,0,8,4,4.0,0.2784520709325396
0,14666,14666,2,R,5,5,4,0,8,4,4.0,0.2784520709325396
0,14667,14667,1,R,32,2,5,2,5,2,5.0,0.2583627278071722
0,14668,14667,1,R,32,4,5,2,5,2,5.0,0.2583627278071722
0,14670,14669,2,RI,32,3,5,2,5,2,5.0,0.3415270429159318
0,14671,14669,2,RI,32,4,5,2,5,2,5.0,0.3415270429159318
0,14672,14672,2,I,18,5,5,1,6,4,5.0,0.282644376899696
0,14673,14672,2,I,18,2,5,1,6,4,5.0,0.282644376899696
0,14674,14672,2,I,18,4,5,1,6,4,5.0,0.282644376899696
0,14675,14672,2,I,18,5,5,1,6,4,5.0,0.282644376899696
0,14672,14674,3,No,4,4,4,0,5,2,4.0,0.2966765873015873
0,14673,14674,3,No,4,4,4,0,5,2,4.0,0.2966765873015873
0,14674,14674,3,No,4,5,4,0,5,2,4.0,0.2966765873015873
0,14675,14674,3,No,4,3,4,0,5,2,4.0,0.2966765873015873
