,user_id,group_id,rest_id,avialble_rest,sort_pop,sort_fit,sort_sim,fit_score,sim_score,c1_fit,c2_fit,c3_fit,c4_fit,c5_fit,fit_rank,sim_rank,pop_rank,tip,category,dish,price,time
38,14660,38444,25,-1,0,1,0,4.0,0.3248809523809524,4.0,4.0,4.0,-1.0,-1,17,-1,-1,4,0,32,str,2023-06-19 16:18:21
39,14660,38444,13,-1,0,1,0,3.0,0.36736694677871146,3.0,3.0,3.0,-1.0,-1,27,-1,-1,4,0,43,str,2023-06-19 16:18:40
40,14660,38444,29,-1,0,1,0,3.5,0.2433163769959022,3.5,3.5,3.5,-1.0,-1,23,-1,-1,3,1,99,str,2023-06-19 16:18:40
41,14660,38996,18,-1,1,0,0,5.0,0.16570486951842886,5.0,5.0,-1.0,-1.0,-1,-1,-1,2,5,0,13,str,2023-06-19 23:44:21
42,14660,38996,29,-1,1,0,0,3.5,0.14662757288870049,3.5,3.5,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-19 23:44:22
43,14660,38996,5,-1,1,0,0,4.0,0.17344525049603174,4.0,4.0,-1.0,-1.0,-1,-1,-1,3,4,0,30,str,2023-06-19 23:44:25
44,14660,38996,32,-1,0,1,0,5.0,0.1860927395649618,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,0,16,str,2023-06-19 23:49:19
45,14660,38996,30,-1,0,1,0,5.0,0.22793004798818758,5.0,5.0,1.0,-1.0,-1,3,-1,-1,5,0,9,str,2023-06-19 23:49:19
46,14660,38996,22,-1,0,1,0,4.5,0.2171041921041921,4.5,4.5,0.0,-1.0,-1,4,-1,-1,4,0,18,str,2023-06-19 23:49:19
47,14660,38996,26,-1,0,1,0,4.5,0.20102944559466296,4.5,4.5,0.0,-1.0,-1,5,-1,-1,4,0,23,str,2023-06-19 23:49:20
48,14660,38996,24,-1,0,1,0,4.5,0.2637079831932773,4.5,4.5,0.0,-1.0,-1,6,-1,-1,4,0,21,str,2023-06-19 23:49:20
49,14660,38996,2,-1,0,1,0,4.5,0.2143105158730159,4.5,4.5,0.0,-1.0,-1,7,-1,-1,4,0,11,str,2023-06-19 23:49:20
50,14660,38996,12,-1,0,1,0,4.5,0.18703703703703703,4.5,4.5,0.0,-1.0,-1,9,-1,-1,4,0,17,str,2023-06-19 23:49:20
51,14749,37358,29,-1,0,1,0,3.5,0.229972681456361,3.5,3.5,3.5,0.0,-1,1,-1,-1,3,1,99,str,2023-06-19 09:11:03
52,14749,37358,22,-1,0,1,0,4.5,0.330972730972731,4.5,4.5,4.5,0.0,-1,2,-1,-1,4,0,18,str,2023-06-19 09:11:08
53,14749,37358,15,-1,0,1,0,4.5,0.2802083333333333,4.5,4.5,4.5,0.0,-1,3,-1,-1,4,0,40,str,2023-06-19 09:11:12
54,14909,37363,22,-1,0,1,0,4.5,0.2701312576312576,4.5,4.5,0.0,-1.0,-1,1,-1,-1,4,0,18,str,2023-06-19 09:22:18
55,14909,37363,5,-1,0,1,0,4.0,0.22211216517857144,4.0,4.0,0.0,-1.0,-1,2,-1,-1,4,0,30,str,2023-06-19 09:22:19
56,14909,37363,29,-1,0,1,0,3.5,0.18680584993641375,3.5,3.5,0.0,-1.0,-1,3,-1,-1,3,1,99,str,2023-06-19 09:22:20
57,14700,37369,5,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,3,4,0,30,str,2023-06-19 09:29:10
58,14906,37388,5,-1,0,1,0,2.6666666666666665,0.18452845982142857,4.0,4.0,0.0,0.0,-1,2,-1,-1,4,0,30,str,2023-06-19 11:12:09
59,14702,37411,29,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-19 11:29:11
60,14702,37411,4,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,4,4,0,61,str,2023-06-19 11:29:17
61,14702,37411,21,-1,1,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1,-1,-1,19,2,0,9,str,2023-06-19 11:29:52
62,14773,37404,5,-1,0,1,0,4.0,0.2675409226190476,4.0,4.0,0.0,-1.0,-1,14,-1,-1,4,0,30,str,2023-06-19 11:28:43
63,14773,37404,25,-1,0,1,0,4.0,0.27902998236331567,4.0,4.0,0.0,-1.0,-1,15,-1,-1,4,0,32,str,2023-06-19 11:28:49
64,14773,37404,18,-1,0,1,0,5.0,0.22212133440947002,5.0,5.0,1.0,-1.0,-1,1,-1,-1,5,0,13,str,2023-06-19 11:29:23
65,14773,37404,29,-1,0,1,0,3.5,0.21819155951203428,3.5,3.5,0.0,-1.0,-1,20,-1,-1,3,1,99,str,2023-06-19 11:29:52
66,14707,37438,5,0,0,1,0,4.0,0.2673611111111111,4.0,4.0,4.0,4.0,0,15,-1,-1,4,0,30,str,2023-06-19 11:41:15
67,14707,37438,18,1,0,1,0,5.0,0.277773497688752,5.0,5.0,5.0,5.0,1,1,-1,-1,5,0,13,str,2023-06-19 11:42:02
68,14641,37484,18,-1,0,1,0,5.0,0.2101879876244283,5.0,5.0,1.0,-1.0,-1,1,-1,-1,5,0,13,str,2023-06-19 11:48:26
69,14641,37484,32,-1,0,1,0,5.0,0.25836272780717223,5.0,5.0,1.0,-1.0,-1,2,-1,-1,5,0,16,str,2023-06-19 11:48:28
70,14641,37484,30,-1,0,1,0,5.0,0.2675618309339239,5.0,5.0,1.0,-1.0,-1,3,-1,-1,5,0,9,str,2023-06-19 11:48:29
71,14781,37505,29,-1,1,0,0,3.5,0.13383817037663193,3.5,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-19 11:56:36
72,14781,37570,26,-1,0,1,0,4.5,0.4110190936277892,4.5,4.5,4.5,4.5,-1,1,-1,-1,4,0,23,str,2023-06-19 12:15:32
73,14781,37570,24,-1,0,1,0,4.5,0.48789098972922496,4.5,4.5,4.5,4.5,-1,2,-1,-1,4,0,21,str,2023-06-19 12:16:07
74,14781,37570,10,-1,0,1,0,4.5,0.40271164021164024,4.5,4.5,4.5,4.5,-1,4,-1,-1,4,0,11,str,2023-06-19 12:16:28
75,14911,37679,18,-1,0,1,0,3.3333333333333335,0.28285916061339783,5.0,5.0,0.0,-1.0,-1,1,-1,-1,5,0,13,str,2023-06-19 12:47:08
76,14911,37679,32,-1,0,1,0,3.3333333333333335,0.3550240279598078,5.0,5.0,0.0,-1.0,-1,2,-1,-1,5,0,16,str,2023-06-19 12:47:10
77,14911,37679,30,-1,0,1,0,3.3333333333333335,0.3820551864156515,5.0,5.0,0.0,-1.0,-1,3,-1,-1,5,0,9,str,2023-06-19 12:47:14
78,14911,37679,26,-1,0,1,0,3.0,0.3874338624338624,4.5,4.5,0.0,-1.0,-1,5,-1,-1,4,0,23,str,2023-06-19 12:47:38
79,14911,37679,24,-1,0,1,0,3.0,0.4308123249299719,4.5,4.5,0.0,-1.0,-1,6,-1,-1,4,0,21,str,2023-06-19 12:48:01
80,14712,37580,5,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,3,4,0,30,str,2023-06-19 12:13:58
81,14712,37580,29,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,1,3,1,99,str,2023-06-19 12:14:01
82,14712,37580,18,-1,1,0,0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,2,5,0,13,str,2023-06-19 13:06:50
