user_id,type,time
14720,pop,2023-06-15 23:50:01
14720,fit,2023-06-15 23:50:05
14720,sim,2023-06-15 23:50:10
14720,trip,2023-06-15 23:50:15
14720,category,2023-06-15 23:50:18
14720,dish,2023-06-15 23:50:22
14720,pop,2023-06-16 11:12:10
14720,trip,2023-06-16 11:12:14
14748,pop,2023-06-16 15:41:07
14801,pop,2023-06-18 11:20:56
14801,sim,2023-06-18 11:22:44
14749,fit,2023-06-19 09:10:58
14906,pop,2023-06-19 11:11:39
14906,fit,2023-06-19 11:11:41
14906,category,2023-06-19 11:12:00
14906,dish,2023-06-19 11:12:00
14782,category,2023-06-16 08:52:26
14809,fit,2023-06-19 13:21:34
14809,fit,2023-06-19 13:25:09
14706,fit,2023-06-19 13:24:19
14706,pop,2023-06-19 13:24:19
14706,category,2023-06-19 13:24:28
14706,pop,2023-06-19 13:25:35
14706,fit,2023-06-19 13:25:35
14717,pop,2023-06-19 14:03:21
14708,fit,2023-06-19 13:14:08
14708,fit,2023-06-19 13:14:52
14708,fit,2023-06-19 13:17:58
14708,fit,2023-06-19 13:18:47
14708,fit,2023-06-19 13:20:55
14708,fit,2023-06-19 13:21:59
14708,fit,2023-06-19 14:04:30
14708,pop,2023-06-19 14:04:30
14708,fit,2023-06-19 14:06:31
14708,category,2023-06-19 14:06:32
14708,sim,2023-06-19 14:06:32
14708,sim,2023-06-19 14:06:32
14708,sim,2023-06-19 14:06:33
14708,sim,2023-06-19 14:06:33
14708,sim,2023-06-19 14:06:33
14708,sim,2023-06-19 14:06:33
14708,sim,2023-06-19 14:06:33
14708,sim,2023-06-19 14:06:34
14708,sim,2023-06-19 14:06:34
14708,fit,2023-06-19 14:06:36
14708,fit,2023-06-19 14:06:39
14708,fit,2023-06-19 14:06:48
14708,fit,2023-06-19 14:29:28
14708,sim,2023-06-19 14:29:49
14708,sim,2023-06-19 14:29:49
14708,fit,2023-06-19 14:29:49
14708,fit,2023-06-19 14:30:02
14708,fit,2023-06-19 14:30:19
14708,fit,2023-06-19 14:30:52
14698,dish,2023-06-19 12:35:34
14655,pop,2023-06-19 15:32:50
14655,fit,2023-06-19 15:32:52
14648,pop,2023-06-19 17:02:30
14648,sim,2023-06-19 17:17:51
14693,dish,2023-06-19 18:32:18
14693,dish,2023-06-19 18:32:40
14693,dish,2023-06-19 18:34:48
14709,fit,2023-06-19 21:13:59
14709,fit,2023-06-19 21:14:12
14709,fit,2023-06-19 21:14:29
14691,pop,2023-06-19 21:38:40
14691,fit,2023-06-19 21:38:50
14797,sim,2023-06-19 22:37:56
14697,pop,2023-06-19 22:43:27
14697,fit,2023-06-19 22:44:37
14754,fit,2023-06-19 21:26:03
14754,fit,2023-06-19 22:07:42
14754,fit,2023-06-19 22:07:42
14793,fit,2023-06-19 23:59:38
14793,pop,2023-06-19 23:59:43
14793,sim,2023-06-19 23:59:48
14793,pop,2023-06-20 00:00:08
14793,category,2023-06-20 00:00:13
