group,member1,member2,member3,member4,member5
1,14640,14639
2,14640,14639
3,14641,14642,14643
4,14641,14642,14643
5,14641,14642,14643
6,14644,14645,14646,14647
7,14644,14645,14646,14647
8,14644,14645,14646,14647
9,14644,14645,14646,14647
10,14648,14649,14650,14651,14652
11,14648,14649,14650,14651,14652
12,14648,14649,14650,14651,14652
13,14648,14649,14650,14651,14652
14,14648,14649,14650,14651,14652
15,14653,14654
16,14653,14654
17,14656,14657,14655
18,14656,14657,14655
19,14656,14657,14655
20,14658,14659,14660,14661
21,14658,14659,14660,14661
22,14658,14659,14660,14661
23,14658,14659,14660,14661
24,14662,14663,14664,14665,14666
25,14662,14663,14664,14665,14666
26,14662,14663,14664,14665,14666
27,14662,14663,14664,14665,14666
28,14662,14663,14664,14665,14666
29,14667,14668
30,14667,14668
31,14669,14670,14671
32,14669,14670,14671
33,14669,14670,14671
34,14672,14673,14674,14675
35,14672,14673,14674,14675
36,14672,14673,14674,14675
37,14672,14673,14674,14675
38,14676,14677,14678,14679,14680
39,14676,14677,14678,14679,14680
40,14676,14677,14678,14679,14680
41,14676,14677,14678,14679,14680
42,14676,14677,14678,14679,14680
43,14681,14682
44,14681,14682
45,14683,14684,14685
46,14683,14684,14685
47,14683,14684,14685
48,14688,14689,14686,14687
49,14688,14689,14686,14687
50,14688,14689,14686,14687
51,14688,14689,14686,14687
52,14690,14691,14692,14693,14694
53,14690,14691,14692,14693,14694
54,14690,14691,14692,14693,14694
55,14690,14691,14692,14693,14694
56,14690,14691,14692,14693,14694
57,14696,14695
58,14696,14695
59,14697,14698,14699
60,14697,14698,14699
61,14697,14698,14699
62,14700,14701,14702,14703
63,14700,14701,14702,14703
64,14700,14701,14702,14703
65,14700,14701,14702,14703
66,14704,14705,14706,14707,14708
67,14704,14705,14706,14707,14708
68,14704,14705,14706,14707,14708
69,14704,14705,14706,14707,14708
70,14704,14705,14706,14707,14708
71,14709,14710
72,14709,14710
73,14712,14713,14711
74,14712,14713,14711
75,14712,14713,14711
76,14714,14715,14716,14717
77,14714,14715,14716,14717
78,14714,14715,14716,14717
79,14714,14715,14716,14717
80,14720,14721,14722,14718,14719
81,14720,14721,14722,14718,14719
82,14720,14721,14722,14718,14719
83,14720,14721,14722,14718,14719
84,14720,14721,14722,14718,14719
85,14728,14729
86,14728,14729
87,14730,14731,14732
88,14730,14731,14732
89,14730,14731,14732
90,14736,14733,14734,14735
91,14736,14733,14734,14735
92,14736,14733,14734,14735
93,14736,14733,14734,14735
94,14737,14738,14739,14740,14741
95,14737,14738,14739,14740,14741
96,14737,14738,14739,14740,14741
97,14737,14738,14739,14740,14741
98,14737,14738,14739,14740,14741
99,14742,14743
100,14742,14743
101,14744,14745,14746
102,14744,14745,14746
103,14744,14745,14746
104,14747,14748,14749,14750
105,14747,14748,14749,14750
106,14747,14748,14749,14750
107,14747,14748,14749,14750
108,14752,14753,14754,14755,14751
109,14752,14753,14754,14755,14751
110,14752,14753,14754,14755,14751
111,14752,14753,14754,14755,14751
112,14752,14753,14754,14755,14751
113,14756,14757
114,14756,14757
115,14760,14758,14759
116,14760,14758,14759
117,14760,14758,14759
118,14761,14762,14763,14764
119,14761,14762,14763,14764
120,14761,14762,14763,14764
121,14761,14762,14763,14764
122,14765,14766,14767,14768,14769
123,14765,14766,14767,14768,14769
124,14765,14766,14767,14768,14769
125,14765,14766,14767,14768,14769
126,14765,14766,14767,14768,14769
127,14770,14771
128,14770,14771
129,14772,14773,14774
130,14772,14773,14774
131,14772,14773,14774
132,14776,14777,14778,14775
133,14776,14777,14778,14775
134,14776,14777,14778,14775
135,14776,14777,14778,14775
136,14779,14780,14781,14782,14783
137,14779,14780,14781,14782,14783
138,14779,14780,14781,14782,14783
139,14779,14780,14781,14782,14783
140,14779,14780,14781,14782,14783
141,14784,14785
142,14784,14785
143,14786,14787,14788
144,14786,14787,14788
145,14786,14787,14788
146,14792,14789,14790,14791
147,14792,14789,14790,14791
148,14792,14789,14790,14791
149,14792,14789,14790,14791
150,14793,14794,14795,14796,14797
151,14793,14794,14795,14796,14797
152,14793,14794,14795,14796,14797
153,14793,14794,14795,14796,14797
154,14793,14794,14795,14796,14797
155,14798,14799
156,14798,14799
157,14800,14801,14802
158,14800,14801,14802
159,14800,14801,14802
160,14803,14804,14805,14806
161,14803,14804,14805,14806
162,14803,14804,14805,14806
163,14803,14804,14805,14806
164,14807,14808,14809,14812,14814
165,14807,14808,14809,14812,14814
166,14807,14808,14809,14812,14814
167,14807,14808,14809,14812,14814
168,14807,14808,14809,14812,14814
169,14882,14869
170,14882,14869
171,14899,14884,14902
172,14899,14884,14902
173,14899,14884,14902
174,14905,14906,14907,14908
175,14905,14906,14907,14908
176,14905,14906,14907,14908
177,14905,14906,14907,14908
178,14889,14909,14911
179,14889,14909,14911
180,14889,14909,14911
181,14912,14930,14932,14933,14935
182,20734,20735
183,20734,20735
184,20736,20737
185,20736,20737
186,20738,20739
187,20738,20739
188,20769,20767
189,20769,20767
190,20770,20771
191,20770,20771
192,20788,20789
193,20788,20789
194,20797,20798
195,20797,20798
