,user_id,gender,nationality,age,french,chinese,jpan,italian,greek,indian,spain,lebanan,moroccan,turkish,thai,preferences
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14700,Female,Bosnia,19,1,1,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'FISH', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'SALAD', 'PASTA']"
0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
0,14762,Female,Bosnia,19,1,1,1,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'CHINESE NOODLE', 'PASTA']"
0,14869,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14869,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14869,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14869,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14639,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
0,14639,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,0,0,"['PIZZA', 'PASTA']"
0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14644,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14645,Female,Bosnia,20,0,1,1,1,0,0,0,0,0,0,0,"['PIZZA', 'CHINESE NOODLE']"
0,14645,Female,Bosnia,20,0,1,1,1,0,0,0,0,0,0,0,"['PIZZA', 'CHINESE NOODLE']"
0,14745,Male,Germany,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
0,14745,Male,Germany,20,0,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'BURGER']"
0,14728,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,1,0,"['PIZZA', 'PASTA']"
0,14728,Male,Bosnia,20,0,0,1,1,0,0,1,0,0,1,0,"['PIZZA', 'PASTA']"
0,14791,Female,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14791,Female,Bosnia,20,0,0,1,1,0,0,0,0,0,0,0,"['PIZZA', 'BURGER']"
0,14730,Male,Bosnia,21,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'BURGER']"
0,14730,Male,Bosnia,21,0,0,0,1,1,0,0,0,0,0,0,"['RED MEAT', 'BURGER']"
0,14640,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14640,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14792,Female,Bosnia,20,1,1,1,1,1,1,1,1,1,1,1,"['WHITE MEAT', 'FISH', 'RED MEAT', 'RICE', 'SALAD']"
0,14750,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14750,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14750,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14750,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14656,Male,Bosnia,21,1,0,0,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14656,Male,Bosnia,21,1,0,0,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14656,Male,Bosnia,21,1,0,0,0,0,1,0,0,0,0,0,"['WHITE MEAT', 'PIZZA', 'BURGER']"
0,14698,Female,Bosnia,20,0,0,0,0,0,0,0,0,1,1,0,"['FISH', 'RED MEAT']"
0,14698,Female,Bosnia,20,0,0,0,0,0,0,0,0,1,1,0,"['FISH', 'RED MEAT']"
0,14729,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14729,Female,Bosnia,19,1,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'CHINESE NOODLE']"
0,14681,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14681,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14681,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14681,Male,Bosnia,19,0,0,0,1,1,0,1,0,0,1,0,"['WHITE MEAT', 'RED MEAT', 'PIZZA', 'BURGER']"
0,14692,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14692,Female,Bosnia,19,0,0,0,0,0,0,0,0,0,1,0,"['PIZZA', 'BURGER']"
0,14923,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RICE']"
0,14923,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['WHITE MEAT', 'RICE']"
0,14670,Female,Bosnia,20,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'SALAD']"
0,14670,Female,Bosnia,20,1,0,0,1,0,0,1,0,0,1,0,"['WHITE MEAT', 'SALAD']"
0,14906,Male,Bosnia,22,1,0,0,1,0,0,0,0,0,1,0,"['SOUP', 'PIZZA']"
